gene	025_08	024_08	025_09	022_06	006_09	013_09	022_09	004_06	001_06	009_09	004_08	031_08	018_06	020_08	023_09	016_07	023_08	039_06	037_08	015_09	016_09	011_09	015_07	018_08	035_06	017_07	012_09	026_09	014_09	017_09	005_09	032_08	021_09	033_08	007_09	016_08	026_08	028_08	030_06	018_05	034_07	032_09	029_09	022_08	036_09	038_09	027_09	033_09	014_08	030_09	003_08	009_07	035_09	017_08	034_06	020_07	007_08	034_08	034_09	031_09	028_09	002_08	004_10	011_10	001_10	006_10	012_10	008_10	010_10	002_10	007_10	024_10	023_10	016_10	028_10	013_10	014_10	015_10	019_10	032_10	018_10	021_10	020_10
X3721851	5.43956	5.45926	5.36004	5.48664	5.359	5.20813	5.30415	5.01241	5.06517	5.44375	5.24766	5.39582	5.18967	5.12192	5.35914	5.03917	4.95313	4.85962	5.15752	5.04798	5.65744	5.46366	5.57373	5.40542	4.91757	5.2583	5.38217	4.94303	5.55324	5.49029	5.5105	5.40138	5.12794	5.15198	5.40363	5.37817	5.54621	5.62715	5.49639	5.20424	5.04223	4.81833	5.4932	5.07639	4.92815	5.29543	5.12298	5.15407	5.23275	5.40787	5.22389	4.87708	5.07196	5.27798	5.24523	5.13151	5.00576	5.55341	5.21707	5.16397	5.10893	4.59146	5.33981	5.11719	5.20484	5.36474	5.14703	5.36989	5.2857	5.05486	5.33354	5.41884	4.93019	5.12918	5.43893	5.51074	5.18382	5.15543	5.08205	5.30799	5.02864	5.13453	5.31224
X3136888	6.35546	6.5979	6.33533	6.41007	6.69832	6.52663	6.6626	6.10793	5.91858	6.27225	7.07027	6.57853	6.13804	6.03031	6.03475	5.79591	5.9772	6.33459	6.29157	6.56717	6.84917	7.00895	6.7421	6.35526	6.38936	5.79426	6.58028	6.71662	6.73892	6.59571	6.78437	6.66805	6.46635	6.48986	6.58741	6.61221	6.31508	6.08404	6.6783	6.02213	6.45582	6.01795	6.68525	6.30275	6.08493	6.69315	6.60615	5.92076	6.16513	6.00448	6.51886	6.50258	6.25627	6.42552	6.26801	6.17065	6.60669	6.8212	6.4959	6.37191	6.81779	6.1557	6.2611	6.38131	6.01624	6.22284	6.4715	6.23313	6.1131	6.65739	6.66985	6.69878	6.45136	6.084	6.05209	6.00172	6.25556	6.50055	6.04402	6.14414	6.65383	6.41743	6.35798
X3442205	6.78485	6.35532	6.17112	6.47892	6.55585	6.38474	6.27704	6.28461	6.1896	6.27411	6.45296	6.60342	6.31124	6.22494	6.28686	6.24217	6.06774	6.08401	6.35881	6.53177	6.57391	6.72406	6.54687	6.29463	6.10132	6.2786	6.56325	6.3242	6.78361	6.42354	6.6454	6.54552	6.40516	6.45629	6.69922	6.70947	6.92047	6.25903	6.49566	6.30571	6.4794	6.44037	6.35811	6.10056	6.39554	6.27274	6.45783	6.23504	6.29885	6.52097	6.31149	6.24643	6.26145	6.19168	6.11379	6.4166	6.42866	6.66817	6.74711	6.60293	6.24297	6.26516	6.48582	5.92802	6.41917	6.51616	6.28768	6.37453	6.33808	6.45326	6.34286	6.31087	6.42661	6.45708	6.49238	6.35838	6.23357	6.50737	6.42483	6.25946	6.25388	6.61265	6.36097
X3661940	9.26003	9.2079	9.16607	9.24619	9.2863	9.26513	9.22237	9.21031	9.31365	9.17121	9.34226	9.40277	9.4674	9.20195	9.32333	9.25088	9.06519	9.12038	9.28749	9.40806	9.40996	9.42304	9.33053	9.29293	9.21704	9.25588	9.42739	9.16162	9.49711	9.29162	9.64291	9.34365	9.25675	9.2712	9.38415	9.26752	9.29434	9.06133	9.22791	9.12619	9.22608	9.22509	9.40697	9.29229	9.17624	9.22886	9.48007	9.24273	9.09355	9.1975	9.2192	9.09078	9.23155	9.26511	9.28714	9.25473	9.04576	9.53736	9.41093	9.30783	9.19706	9.13645	9.27712	9.04704	9.09203	9.22046	9.253	9.16711	9.24935	9.29388	9.31735	9.15531	9.40912	9.2962	9.26943	9.23336	9.21207	9.3809	9.24063	9.17015	9.45612	9.41785	9.20343
X3721926	8.9456	8.52761	8.52098	8.3233	8.675	8.56201	8.47479	8.41275	8.1219	8.21913	8.5491	8.57137	8.2345	8.40164	8.19785	8.18138	7.90541	7.94339	8.51686	8.87521	9.29252	8.96899	8.89747	8.30099	8.43692	8.64887	8.59054	8.1553	8.87992	8.67652	8.89866	8.67618	8.27146	8.53302	8.79206	8.87375	8.8301	8.75033	8.72376	8.28712	7.9435	8.39534	8.78008	8.05141	8.63092	8.77877	8.57362	8.53694	8.25578	8.52783	8.61381	8.16138	8.46085	8.24001	8.30271	8.61282	8.06364	9.15528	8.68379	8.49465	8.58865	8.19711	8.78917	8.25125	8.61505	8.64031	8.44622	8.60391	8.54127	8.62064	8.49244	8.52927	8.62576	8.69347	8.63505	8.52667	8.6027	8.96402	8.5002	8.43789	8.72583	8.77695	8.56734
X3881786	4.5148	4.47153	4.67096	4.80892	4.77034	4.45439	4.66139	4.56234	4.63273	4.77707	4.84442	4.8269	4.80251	4.74899	4.42127	4.96984	4.43356	4.70652	4.40572	4.9081	5.07251	4.81039	4.99523	4.8256	4.56708	4.73764	4.72803	4.5553	5.07325	4.85776	4.75008	4.98574	4.65563	4.79038	4.84111	4.92364	4.7179	4.48369	4.70923	4.76299	4.82141	4.86177	4.70556	4.93045	4.89051	4.64722	4.76316	4.6766	4.8214	4.80061	4.66679	4.70072	4.519	4.83165	4.55605	4.6977	4.65641	4.50586	4.8703	4.95907	4.62595	4.66471	4.67255	4.88628	4.71033	4.9844	4.46865	4.72587	5.03016	4.71516	4.57513	4.27652	4.93249	4.82326	5.05918	4.5525	4.95983	4.79181	4.49669	4.85319	4.80363	4.56726	5.05278
X3686587	4.40551	4.12445	4.32787	4.36977	4.42272	3.95404	4.14114	4.25639	4.08169	4.31009	4.08356	4.28823	4.26283	4.16937	4.06942	4.36038	4.084	4.13573	4.15375	4.26861	4.47914	4.36	4.60521	4.06697	4.1468	4.07504	3.99343	4.16041	4.08669	4.38771	4.8142	4.61709	4.17495	4.2515	3.92221	4.62114	4.36629	4.16158	4.37658	4.01129	4.55037	4.31888	4.10485	4.18145	4.18241	4.14481	4.04169	4.27199	4.41708	4.19079	4.39386	4.34363	4.33029	4.36475	4.35125	4.45031	4.4734	4.51111	4.2993	4.25543	4.13864	4.18382	4.26649	4.09395	4.11166	4.33422	4.15907	4.42552	4.17032	4.07648	3.95643	4.23011	3.98817	4.08152	4.20839	4.26715	4.23224	4.07772	4.49992	4.44283	4.26173	4.3968	4.31212
X3442427	4.94559	4.70305	4.64106	4.96664	4.51942	4.53726	4.45846	4.78104	4.85476	4.54752	4.65581	5.06598	4.58954	4.83687	4.37936	4.64837	4.44548	4.50904	4.52505	4.83984	4.87284	4.97601	4.87445	4.61911	4.80276	4.91909	4.87142	4.51282	4.96686	4.8892	5.01504	4.93287	4.62077	4.64602	4.7827	4.84653	5.31325	4.73924	4.73839	4.8196	4.78369	4.82786	4.664	4.77191	4.86557	4.63395	4.72063	5.04744	4.51738	4.84625	4.78934	4.84863	4.3379	4.70231	4.71582	4.65637	4.81134	4.71102	4.89513	5.06597	4.75656	4.92466	4.73279	4.84965	4.95768	4.88438	4.5567	4.73336	4.75223	5.07742	4.41307	4.69463	4.44549	4.71939	5.06946	4.65376	4.99685	4.60503	4.7591	4.83955	4.69454	4.89412	4.79625
X4016485	4.14409	3.8535	3.6382	4.68101	3.87923	3.34232	3.86639	3.94821	3.19722	3.87822	3.98045	3.47173	3.18386	3.92363	3.72323	3.71913	3.52742	3.73575	3.55905	4.00309	3.84719	4.46662	4.27588	4.47306	3.23471	3.27724	4.25149	3.45999	4.7592	3.5153	3.80187	3.39657	3.77583	3.70688	4.03546	4.38504	4.61285	3.97959	3.87437	3.69018	3.36395	3.31978	3.88473	3.48873	4.04279	3.93055	3.7308	3.88961	3.91607	3.50647	3.69443	4.04054	4.20241	4.1004	3.92625	3.70587	4.04972	3.73102	3.97711	4.17988	4.0609	3.72815	4.20833	3.49964	4.05734	3.89068	4.16511	4.06326	4.04724	4.55123	4.08664	3.54849	4.14596	3.84971	3.83732	4.179	4.27533	4.3411	3.5373	3.51005	3.50874	3.97339	3.87171
X3832114	5.84512	5.56598	5.43869	5.55985	5.51591	5.45401	5.44708	5.51671	5.2622	5.41841	5.71113	5.86546	5.62104	5.64773	5.81861	5.61909	5.30376	5.28951	5.58171	5.58325	5.79593	5.82888	5.71186	5.71479	5.49786	5.53383	5.73317	5.17316	6.16607	5.59843	5.62635	5.97005	5.79314	5.61603	5.6833	5.53531	5.89647	5.55595	5.62572	5.6056	5.25452	5.38438	5.61222	5.50961	5.57452	5.42944	5.35567	5.57183	5.44815	5.5207	5.77466	5.45889	5.46302	5.25589	5.509	5.45456	5.48362	5.8672	5.76396	5.79774	5.12092	5.40013	5.5751	5.4508	5.54978	5.53672	5.45309	5.80988	5.48738	5.4415	5.75965	5.5039	5.36577	5.75479	5.51069	5.77947	5.47601	5.62088	5.39834	5.58002	5.57942	5.68194	5.65158
X3332548	4.59022	4.23765	4.46851	3.95647	4.4522	4.44328	3.92528	3.88254	4.18112	4.10953	4.15863	4.02545	4.42574	4.38163	3.77698	4.43792	4.10921	3.78129	3.86693	4.514	4.35185	4.18008	4.42281	4.08082	4.37631	4.42817	4.48964	4.17282	4.56578	4.50887	4.48979	4.34058	4.20872	4.52412	4.55073	4.81145	4.72617	3.99094	4.43576	3.79219	3.81527	3.95061	4.57431	4.04144	4.54547	4.21769	4.05139	4.21829	4.31755	4.10321	4.42616	4.82105	4.18718	4.09053	4.23671	3.89097	3.95123	4.65519	4.09864	4.44732	4.4384	4.39317	4.08585	3.88955	4.14149	4.15504	4.0485	4.32877	3.81663	3.95489	4.13967	4.07202	3.90184	4.28739	4.36978	4.25283	4.36111	4.42251	4.32103	4.34032	4.17779	4.20085	4.11194
X2453307	5.76119	5.89224	6.08944	5.82388	6.43893	6.10501	5.23736	6.25261	5.57739	6.13658	5.99954	6.14572	5.45444	5.83666	6.36087	5.49587	5.52201	5.57487	6.04542	5.61939	6.30994	6.82991	6.06453	5.73694	6.19823	5.72201	6.31648	5.36922	6.28928	6.4911	6.383	6.23773	5.99126	6.72872	6.5223	6.33796	6.92494	6.33637	6.51403	6.33899	5.70438	6.07114	5.65201	4.93181	5.95105	6.64216	5.82989	6.05256	6.20724	5.97896	5.8091	6.2881	5.93089	5.37658	5.95536	6.2954	5.98099	6.21752	5.99642	6.13931	5.78899	6.06326	5.83367	5.81868	6.0298	5.74157	6.45476	5.66413	5.92104	6.36892	5.80512	5.79164	6.12946	6.33375	5.81733	6.21375	5.66851	5.39504	6.23327	6.05935	6.30777	5.83077	6.20355
X3686728	6.54999	6.51707	6.15422	6.67617	6.55327	6.88438	6.53564	6.16299	6.24835	6.38676	6.60188	6.24601	6.44162	6.13678	6.20261	6.475	6.48413	6.25747	6.559	6.85289	6.8222	6.79106	6.89408	6.53918	6.1945	6.31037	6.60758	6.27606	6.9944	6.51146	6.69229	6.49647	6.40351	6.43804	6.6073	6.60125	6.78299	6.3844	6.09273	6.29382	6.03225	6.17459	6.47878	6.83311	6.21414	6.22943	6.40924	6.21377	6.35369	6.21369	6.24785	6.28104	5.96676	5.95102	6.25644	6.25127	6.54238	6.43404	6.54665	6.51919	6.07422	6.20039	6.33394	6.46432	6.22641	6.10025	6.11497	6.43621	6.24649	6.42197	6.41153	6.26501	6.50222	6.38955	6.07473	6.41849	6.37666	6.64477	6.41958	6.39078	6.31154	6.36627	6.11621
X3332615	5.95829	5.52881	5.46602	5.36865	5.66551	5.25503	5.20014	5.57831	5.24135	5.34828	5.56108	5.66058	5.23665	5.73521	5.46889	5.16381	5.15645	5.26676	5.61026	5.63418	6.11048	5.62276	5.48748	5.47991	6.02794	5.45822	5.37986	5.52811	5.70349	5.75007	5.83123	5.71502	5.37386	5.31084	5.80636	5.81591	6.04531	5.58191	5.92937	5.55204	5.51699	5.74643	5.53602	5.63844	5.6492	5.74851	5.22449	5.15394	5.40264	5.5957	5.67195	5.33951	5.7024	5.45216	5.29862	5.56336	5.39655	6.13671	5.75324	5.75512	5.65779	5.2638	5.55774	5.07597	5.45869	5.82722	5.74561	5.5775	5.25276	5.47046	5.55721	5.80469	5.56618	5.57779	6.0488	5.5728	5.6103	5.6195	5.42374	5.86373	5.45791	5.54833	5.53517
X2903071	4.5508	3.53702	4.46057	3.65912	4.00929	4.16348	4.22724	3.9715	4.14885	3.80079	4.1807	4.01671	4.00298	4.03152	4.39609	4.15078	3.68436	4.08355	3.96165	4.70696	4.71476	4.10063	4.6115	4.03052	4.44716	4.5142	4.2969	3.58954	4.71244	4.92055	4.18481	4.51599	4.89814	5.02632	3.91273	4.63058	4.79196	4.3923	4.55053	3.90345	4.18533	4.01107	4.21978	4.76057	4.51224	4.29469	4.04718	3.80807	4.18784	3.52701	4.16172	4.48005	4.38008	4.14825	3.53763	4.0962	3.92313	4.41966	4.70981	3.90467	4.33594	4.04855	4.0392	3.73658	4.12837	4.4015	3.74039	4.30156	3.82667	3.89221	4.37637	4.37191	3.95497	3.96287	3.76907	4.0865	4.01191	4.2012	4.21744	4.11048	3.60641	4.48674	4.34579
X3417184	4.58505	4.45533	4.50124	4.61999	4.31805	4.50322	4.48246	4.51462	4.47324	4.57571	4.74446	4.48593	4.48771	4.75468	4.55778	4.6319	4.14345	4.18199	4.31482	4.50099	4.85554	4.74863	4.83712	4.53647	4.99346	4.76346	4.70422	4.52188	4.9312	4.69188	4.64453	4.87817	4.68295	4.50422	4.7702	4.48844	4.81733	4.35668	4.72668	4.24728	4.37912	4.46087	4.70209	4.62585	4.56796	4.62789	4.53197	4.60498	4.57307	4.76968	4.58053	4.81227	4.38231	4.57912	4.45037	4.49845	4.65613	4.70337	4.53749	4.7398	4.86162	4.57076	4.66127	4.62095	4.42554	4.88221	4.5753	4.7035	4.71214	4.58167	4.6425	4.53263	4.4809	4.32293	4.84301	4.56693	4.62584	4.49133	4.38134	4.40077	4.57547	4.49187	4.6561
X3942472	5.41519	5.54423	5.53902	5.93943	5.97082	5.47477	5.2638	5.55649	5.53149	5.44584	5.79154	5.71245	5.32484	5.60462	5.23238	5.42911	5.20248	5.56173	5.7824	5.86191	5.75743	6.33784	5.72043	5.58775	5.40502	5.46976	6.28063	4.86026	5.59116	5.84402	6.15222	6.21403	5.04528	5.77489	5.84362	5.79108	6.17512	5.43049	5.86758	5.54874	5.47369	5.58247	5.48854	5.32424	5.46651	6.04874	5.07859	5.03997	6.30868	5.42967	5.27515	5.68648	5.8947	5.32117	5.33989	5.80946	5.64389	5.72772	5.8096	5.58264	5.19117	5.83735	5.86809	5.40587	5.48067	5.31631	5.8214	5.30954	5.6046	5.4928	5.29169	5.48263	5.48126	5.39548	5.44254	5.37916	5.03814	5.20375	5.44146	4.93711	5.69305	5.0978	5.12835
X3882533	5.60818	5.38373	5.35583	5.61849	5.2537	5.36228	5.41607	5.53536	5.36206	5.38624	5.3865	5.84794	5.48987	5.60356	5.39856	5.45692	5.27147	5.29104	5.55236	5.50896	5.72265	5.35447	5.47571	5.39884	5.34828	5.56141	5.62523	5.32158	5.87453	5.55893	5.67842	5.58996	5.39997	5.35253	5.45352	5.6582	5.73926	5.35476	5.38577	5.63526	5.39575	5.63343	5.53263	5.45675	5.6671	5.44496	5.52882	5.5545	5.43686	5.62173	5.59353	5.41288	5.53695	5.43961	5.56391	5.51552	5.50587	5.61062	5.69575	5.66022	5.5765	5.51721	5.67506	5.49563	5.61602	5.52321	5.52851	5.54381	5.57682	5.67792	5.65143	5.57039	5.29853	5.60032	5.63074	5.65142	5.71795	5.5444	5.63922	5.59649	5.5836	5.59453	5.60326
X3687260	6.65608	6.67301	6.52696	6.44533	6.39307	6.56047	6.5794	6.41345	6.474	6.46778	6.61058	6.58533	6.40305	6.61072	6.26356	6.44712	5.99894	6.06397	6.28457	6.74429	6.99795	6.798	6.78293	6.30408	6.6452	6.62906	6.59241	6.32828	6.95714	6.73103	6.80573	6.67342	6.21721	6.65817	6.43271	6.76461	6.94397	6.54252	6.78432	6.34935	6.52062	6.48247	6.63057	6.67024	6.56868	6.5754	6.53542	6.48368	6.43192	6.51271	6.46966	6.41777	6.51301	6.55368	6.41537	6.72151	6.35497	6.85136	6.76871	6.4434	6.67089	6.4816	6.686	6.12526	6.52595	6.60381	6.57903	6.56258	6.58526	6.66052	6.48744	6.52561	6.236	6.49134	6.60764	6.51767	6.82818	6.7673	6.66393	6.65948	6.49529	6.46459	6.64996
X3333116	7.0112	6.73373	6.22803	6.63523	6.53513	6.7041	6.50892	6.51578	6.11472	6.51456	7.04185	6.93075	6.41665	6.58791	6.62446	6.32248	6.1502	5.97349	6.57968	7.00058	7.02889	7.14206	7.10525	6.32957	6.53803	6.6755	6.92447	6.29706	6.89242	6.76665	6.64303	6.62622	6.67973	6.51661	6.54725	6.65996	6.75546	6.6698	6.56183	6.61487	6.60699	6.14385	6.96703	6.51864	6.6117	6.59922	6.29303	6.74766	6.64144	6.57444	6.82769	6.03662	6.26066	6.03408	6.30507	6.53409	6.30044	7.11723	6.94165	6.77819	6.43224	6.29268	6.53181	6.23879	6.71475	6.71195	6.40421	6.40991	6.30697	6.65637	6.58709	6.84048	6.50268	6.75049	6.52292	6.60107	6.69567	6.72195	6.61951	6.51102	6.43153	6.28884	6.85322
X3687308	6.91051	6.59389	6.41991	6.61269	6.65056	6.47177	6.2798	6.5113	6.40797	6.48804	6.90512	6.67971	6.78081	6.40374	6.61343	6.16887	5.98162	6.60442	6.4548	6.67092	6.62439	6.54783	6.79493	6.51991	6.00287	6.24427	6.36911	6.31866	6.97342	6.45232	6.84361	6.43893	6.44711	6.24706	6.66077	6.80901	6.6616	6.41233	6.53114	6.62494	6.05397	6.33069	6.82845	6.12057	6.25112	6.39038	6.60791	6.3345	6.3921	6.64679	6.5482	6.1016	6.31679	6.23945	6.37678	6.33059	6.59244	7.0555	6.99865	6.61061	6.08448	6.15371	6.55932	5.8622	6.3066	6.54384	6.16618	6.44175	6.28238	6.39433	6.45594	6.37397	6.09629	6.66034	6.22846	6.52284	6.2315	6.73863	6.47394	6.20856	6.31183	6.52379	6.60925
X3832643	8.01799	7.89059	7.99504	8.25217	8.07605	8.10782	7.96712	7.95611	7.75181	8.15606	8.0904	8.19954	7.78744	8.14899	8.14767	7.89851	8.07507	7.44627	8.15378	8.20289	8.03737	8.02743	7.80409	7.71988	7.85382	7.75924	8.15652	8.07449	8.06876	8.20291	8.27211	8.07989	7.98369	8.05233	7.9861	8.23978	8.14931	8.11518	8.19958	7.76751	7.86046	8.27493	8.13396	7.70249	7.87975	8.08308	7.91752	7.76054	8.03134	8.04701	7.84084	7.89989	8.05064	8.01836	7.85841	8.08925	8.05575	8.31747	8.14693	8.03761	7.92685	7.69808	7.97706	7.56057	7.81308	8.0426	8.16917	8.06781	7.92634	7.89632	8.21231	7.88904	8.07571	8.18066	8.10833	8.00278	7.90438	8.22294	8.1004	7.88053	8.21517	8.22121	7.96589
X3807261	4.62147	4.50273	4.65967	4.90625	4.75267	4.59969	4.20426	4.5207	4.72857	4.42314	4.74657	4.9945	4.913	4.86137	4.66307	4.65709	4.29999	4.58406	4.76956	4.69216	5.0513	4.59764	4.92098	4.33118	4.36015	4.44682	4.93295	4.35481	4.99165	4.61857	4.9296	4.8008	4.40477	4.57005	4.3461	4.8973	4.92028	4.66327	4.50506	4.73446	4.89101	4.56119	4.73749	4.60708	4.65297	4.27889	4.42484	4.85365	4.87238	4.72991	4.39331	4.67172	4.64289	4.87694	4.62058	4.92644	5.11414	4.92122	4.41564	4.60816	4.67251	4.43773	4.73466	4.30527	4.40816	4.8611	4.68045	4.60977	4.6067	4.8445	4.64556	4.89354	4.48553	4.80861	4.74765	4.82369	4.84722	4.81486	4.57003	4.77742	4.84194	4.82417	4.49606
X3273251	5.93008	5.70545	5.784	5.85246	5.796	5.85061	5.61387	5.91906	5.758	5.86602	5.78077	5.96183	5.78026	5.80323	5.64605	5.87893	5.65658	5.60657	5.87636	5.98439	6.09792	5.79147	5.85368	5.77434	5.74899	5.73143	5.88179	5.82162	5.97691	5.81303	6.07227	5.93546	5.64336	5.77063	5.82236	5.95654	5.88859	5.6098	5.90714	5.85266	5.81229	5.81225	5.89112	5.48048	5.73808	5.69435	5.88878	5.9673	5.64851	5.81873	5.76631	5.62272	5.71782	5.79036	5.7123	5.87541	5.90308	5.95088	5.88373	5.81266	5.71849	5.72049	5.80564	5.73359	5.84403	5.80453	5.67121	5.71428	5.8636	5.78037	5.74763	5.72263	5.70547	6.03954	5.89173	5.81685	5.93005	5.84441	5.91734	5.95351	5.8862	5.95362	5.85009
X3882652	4.52934	4.42287	4.51425	4.1185	4.84803	4.2934	4.06764	4.27818	4.08111	4.06946	4.38179	4.35275	4.36836	4.44356	3.94359	3.99835	3.78549	4.58579	4.04167	4.60711	4.66945	4.29702	4.66743	4.2641	3.96738	4.31351	4.50929	3.99065	4.90728	4.79107	4.73773	4.415	4.46716	4.40612	4.58334	4.62447	4.38763	4.38286	4.50734	4.41096	4.26115	4.38266	4.39187	4.10497	4.77771	4.17039	4.24718	4.4211	4.42661	4.34836	4.44084	4.3755	4.62621	4.35143	4.13352	4.38135	4.04779	4.5971	4.68	4.39478	4.51789	4.54204	4.31699	4.2737	4.58521	4.78187	4.55642	4.31298	4.33238	4.59538	4.3779	4.5694	4.10372	4.49343	4.42155	4.27964	4.44142	4.56142	4.1403	4.26537	4.10768	4.28726	4.28436
X3503119	5.90329	5.53881	5.08885	5.14561	5.13205	5.32499	5.69379	5.06549	5.07068	5.10963	5.52527	5.43273	5.14836	5.0554	4.8731	5.33244	5.06881	4.6616	5.05901	5.69206	5.93522	6.01578	5.28412	5.166	5.42186	5.42427	5.40089	5.38055	5.85173	5.80767	6.02362	5.39749	5.19305	5.71444	5.65355	5.69996	5.74797	5.38315	5.4899	5.34549	5.1977	5.23351	5.42408	5.25613	5.29582	5.46358	5.46483	4.89739	5.03544	5.45525	5.33211	4.90536	5.35487	5.30667	4.88216	5.25724	5.27867	5.84163	5.80842	5.426	5.07518	4.87551	5.39866	4.94599	5.43922	5.56071	5.32675	5.44044	5.31459	5.31469	5.36195	5.42686	5.23768	5.41215	5.35306	5.27152	5.31784	5.80807	5.45733	5.40291	5.20318	5.52711	5.28964
X3832760	5.46015	4.91487	5.41497	5.56017	5.43461	4.94033	5.15331	5.01754	5.3223	5.39718	5.65099	5.08599	4.73865	5.11318	4.77538	5.45483	4.98233	4.84843	5.20118	5.5496	6.01814	5.61694	5.50904	5.10994	5.06942	4.83695	5.55343	4.61149	5.50465	5.30695	5.59273	5.60151	5.14642	5.16539	5.49604	5.33051	5.56991	5.24058	5.76332	5.12012	4.93577	5.3285	5.28279	5.35694	5.27432	5.47916	4.97297	5.09492	5.32469	5.15753	5.2278	5.54084	4.63732	5.14192	5.18687	5.59327	5.16011	5.59663	5.28336	5.28101	5.19353	5.1128	5.26497	4.8249	5.4257	5.06457	5.1289	5.39711	5.33421	5.07159	4.92012	4.74898	5.07176	5.11702	5.41534	5.18956	5.05552	5.19567	4.90198	5.20332	5.25508	5.38051	5.45495
X3357723	4.36607	4.18369	3.84045	4.21127	3.89144	4.00524	3.88547	3.96311	4.22506	4.05314	4.33228	4.23573	4.05693	4.13808	3.62137	4.03824	3.61377	3.61149	3.86773	4.54203	4.53982	4.34429	4.10678	3.86486	3.45904	4.16451	4.1693	3.53155	4.60425	4.38246	3.99767	4.42578	4.13102	3.93732	4.43576	4.45003	4.6759	4.04065	4.20481	3.97196	3.70123	3.86212	4.34732	4.25178	4.18887	3.91997	3.84977	4.05186	3.80123	3.83837	3.8642	4.03195	3.69822	3.70761	3.43222	4.22079	3.91231	4.44532	4.0647	4.40258	4.12028	3.92389	4.08192	3.68752	4.11374	4.12903	3.81634	3.89295	3.75783	4.15286	3.98145	3.94517	3.76925	3.8657	4.2322	4.03943	3.99146	4.06496	4.03945	4.12145	3.98604	4.17574	3.9806
X3662924	6.34391	6.29107	6.14839	6.09137	6.14696	6.15662	6.20232	6.15808	6.02809	6.17621	6.24945	6.30207	6.12218	6.05719	6.18358	6.05212	5.87357	5.97971	6.29985	6.43347	6.37445	6.29325	6.3782	6.18931	6.07016	6.26804	6.21822	6.21737	6.37339	6.111	6.32419	6.27484	6.37015	6.22852	6.17226	6.21747	6.27257	6.23942	6.16889	6.12063	6.36132	6.15464	6.44722	6.12164	6.16823	6.28702	6.1244	6.26841	6.30401	6.22243	6.25622	6.0793	6.12817	6.15514	6.04318	6.17582	6.29117	6.40928	6.53292	6.2873	6.15134	6.11862	6.3163	5.95751	6.1646	6.20581	6.24651	6.09499	6.08245	6.12995	6.11993	6.40913	6.00793	6.20529	6.32034	6.37268	6.28664	6.26377	6.19797	6.09481	6.01602	6.34132	6.32163
X3687452	8.53391	8.45877	8.41431	8.42134	8.36842	8.53266	8.24158	8.25992	8.38341	8.38079	8.28411	8.37641	8.11694	8.34026	8.17726	8.58604	7.94652	7.88949	8.33192	8.57979	8.98771	8.57902	8.77321	8.32776	8.16556	8.67319	8.60314	8.19014	8.93058	8.56971	8.84957	8.63488	8.33196	8.59215	8.65174	8.64217	8.84492	8.60397	8.39056	8.05292	8.31797	8.31167	8.45613	8.47237	8.16041	8.38912	8.53193	8.45422	8.40859	8.3999	8.36802	8.40024	8.45242	8.5081	7.96132	8.36863	8.11871	8.93425	8.78784	8.38295	8.49751	8.10301	8.51097	8.30368	8.42817	8.43243	8.41234	8.35443	8.2927	8.50434	8.56117	8.42304	8.35858	8.51069	8.50106	8.40883	8.41775	8.55342	8.56021	8.09894	8.62115	8.55145	8.54226
X3722917	7.07363	6.38803	6.69784	6.4685	6.73303	6.23307	6.44161	6.46918	6.29987	6.21863	6.67375	6.95095	6.46548	6.69478	6.21969	6.62418	6.04068	6.16587	6.63309	6.78151	6.99829	6.95411	6.93693	6.16885	6.73033	6.75411	6.79799	6.43719	6.94001	6.93324	6.86906	6.91437	6.17404	6.71843	6.83338	6.87076	7.08208	6.33415	7.0691	6.58928	6.84205	6.80426	6.49768	6.43131	6.72256	6.55588	6.25451	6.45082	6.57161	6.62498	6.54141	6.66946	6.25187	6.60011	6.56919	6.94353	6.30274	7.06044	6.67287	6.65209	6.27619	6.68451	6.71438	5.84696	6.34492	6.61879	6.51991	6.48542	6.70073	6.40624	6.32631	6.81213	6.41262	6.63273	7.05282	6.65615	6.51312	6.47695	6.67611	6.65254	6.58086	6.68546	6.72018
X3333358	5.10971	4.93144	4.72838	4.81482	4.85316	4.65841	4.71271	4.47858	4.54753	4.6695	4.72064	4.67762	4.58497	4.65365	4.57779	4.70751	4.28339	4.47222	4.65978	4.99108	5.02953	4.85638	5.23403	4.80242	4.55515	4.84045	4.91083	4.54666	5.15118	4.64675	5.08851	4.92368	4.65127	4.82328	4.7975	4.93333	4.98591	4.74341	4.98246	4.58672	4.7595	4.68152	5.02429	4.34627	4.80342	4.83431	4.48812	4.61745	4.5745	4.78682	4.69058	4.6218	4.78686	4.46795	4.73885	4.8765	4.80938	5.12919	5.12114	4.55609	4.52314	4.57943	4.94844	4.35797	4.75441	4.6629	4.66721	4.62292	4.53991	4.59705	4.46568	4.8171	4.5033	4.58529	4.55232	4.75604	4.94362	4.79153	4.52157	4.79801	4.57256	4.69415	5.05572
