gene	025_08	024_08	025_09	022_06	006_09	013_09	022_09	004_06	001_06	009_09	004_08	031_08	018_06	020_08	023_09	016_07	023_08	039_06	037_08	015_09	016_09	011_09	015_07	018_08	035_06	017_07	012_09	026_09	014_09	017_09	005_09	032_08	021_09	033_08	007_09	016_08	026_08	028_08	030_06	018_05	034_07	032_09	029_09	022_08	036_09	038_09	027_09	033_09	014_08	030_09	003_08	009_07	035_09	017_08	034_06	020_07	007_08	034_08	034_09	031_09	028_09	002_08	004_10	011_10	001_10	006_10	012_10	008_10	010_10	002_10	007_10	024_10	023_10	016_10	028_10	013_10	014_10	015_10	019_10	032_10	018_10	021_10	020_10
X3862128	5.89016	5.32204	5.39171	5.77425	5.66234	5.82364	5.71962	5.66098	5.57723	5.66408	5.94766	5.76404	5.84957	5.51448	5.71814	5.52955	5.55645	5.54037	5.61876	5.60929	5.91346	5.91172	6.03	5.60928	5.40473	5.74933	5.94901	5.59155	6.23196	5.57913	5.86798	5.94419	5.75569	5.76671	5.58889	5.8467	5.91989	5.49173	5.63602	5.57576	5.8627	5.47607	6.06394	5.23526	5.47459	5.49169	5.66127	5.54476	5.47994	5.43092	5.71421	5.40086	5.42339	5.33268	5.53892	5.71052	5.79725	5.97005	5.85127	5.83274	5.52522	5.40189	5.47796	5.48896	5.43646	5.58822	5.44712	5.55203	5.58113	5.76021	5.44728	5.52824	5.51785	5.47969	5.70891	5.68804	5.59109	5.88255	5.73172	5.70577	5.46736	5.66312	5.74506
X3996467	4.54745	4.47273	4.19648	4.23119	4.78849	4.57623	4.39363	4.63211	4.11065	4.19008	4.73136	4.73587	4.67018	4.53133	4.21977	4.65101	4.14948	4.658	4.35091	4.45513	4.46322	4.65313	4.89886	4.30211	4.41538	4.75029	4.53452	3.90725	4.7525	4.57772	4.72171	4.56374	4.55267	4.40156	4.63856	4.69773	4.83445	4.40325	4.46219	4.50302	4.70853	4.61186	4.76792	4.58719	4.42773	4.11257	4.49534	4.52255	4.27489	4.37527	4.7023	4.54345	4.58995	4.56092	4.75816	4.35472	4.49659	4.74099	4.35543	4.55862	4.29364	4.74173	4.3594	4.25279	4.43011	4.34356	4.22617	4.28036	4.25863	4.42202	4.34818	4.36128	4.32881	4.48144	4.55871	4.24788	4.54786	4.58963	4.4709	4.27611	4.623	4.64646	4.50991
X3556888	6.25543	6.06343	5.77223	6.20592	6.03825	5.9137	5.79129	6.1435	5.9335	5.69662	6.26572	6.15164	5.88676	5.82317	5.87084	5.88668	6.03456	5.85784	6.17428	6.1612	6.14499	6.21513	6.01923	6.14988	5.88705	5.98597	6.27446	5.97161	6.24356	5.95449	6.12359	6.08421	5.97887	5.97596	6.15705	6.12133	6.3415	6.02554	6.22845	6.01672	5.9736	6.03104	5.98416	5.63777	6.00464	6.15552	6.25675	5.86522	6.10104	6.18829	5.97299	5.93232	6.07871	5.8854	5.86785	6.06988	6.17665	6.24011	6.47177	6.11431	5.95167	5.8136	6.18158	5.55268	6.10385	6.12446	6.10873	6.10114	5.95494	5.96799	6.02932	5.87598	5.87247	5.89102	6.06518	6.03775	6.01837	6.12913	6.09568	5.91131	5.86107	6.258	6.1048
X3946615	6.90337	6.66846	6.48287	6.91789	6.76974	6.76185	6.56258	6.79276	6.71701	6.65682	6.89495	7.05685	6.7078	6.76149	6.84756	6.64395	6.67611	6.56849	6.84976	6.84423	6.96831	6.81348	6.86027	6.75103	6.57128	6.70099	6.8635	6.70963	7.04019	6.67478	7.06674	6.93737	6.84582	6.77722	6.96024	6.95726	6.86317	6.7356	6.75898	6.7757	6.64699	6.74687	6.79538	6.64925	6.48311	6.60462	6.6705	6.72161	6.67136	6.66942	6.78928	6.77973	6.49125	6.54269	6.74293	6.77028	6.84339	6.91595	6.9804	6.91414	6.62277	6.61582	6.68892	6.49857	6.7701	6.81602	6.58668	6.73639	6.73927	6.75841	6.71893	6.62487	6.67969	6.77637	6.78318	6.75313	6.66253	6.86018	6.65383	6.6786	6.75636	6.94104	6.65662
X3666897	5.75911	5.3615	5.41857	5.58231	5.77719	5.58092	5.28179	5.48698	5.28446	5.61431	5.72924	5.85086	5.59315	5.56792	5.33507	5.66424	5.19052	5.11875	5.35282	5.66157	5.83032	5.60502	5.84499	5.52276	5.32117	5.40435	5.66342	5.30652	6.03835	5.49229	5.95279	5.59557	5.49873	5.66335	5.90267	5.81624	5.89721	5.3609	5.60065	5.54622	5.50357	5.37392	5.68864	5.32844	5.517	5.5777	5.48105	5.46743	5.49848	5.39058	5.43856	5.47749	5.32502	5.67026	5.36789	5.69348	5.88841	5.84092	5.55341	5.53761	5.44	5.30267	5.581	5.37193	5.5334	5.32444	5.39309	5.39906	5.4395	5.52775	5.56056	5.39791	5.39373	5.3858	5.51555	5.59234	5.60266	5.52353	5.47299	5.42785	5.58439	5.5202	5.49459
X3946762	7.06565	6.70209	6.95087	6.87657	7.07383	6.74321	6.65017	6.95669	6.64533	7.02557	7.01439	6.96893	6.5076	6.7834	6.94318	6.64907	6.67011	6.39702	6.82393	6.90316	7.2927	7.11709	7.13614	6.87483	6.63514	6.66146	7.07258	6.66449	7.25956	6.98307	7.25924	6.84913	6.9079	6.95018	7.05406	7.03526	7.23281	6.92326	6.92928	6.704	6.65485	6.74839	7.06088	6.97478	6.52705	6.83823	6.65467	6.81039	6.90538	6.73485	6.7042	6.78589	6.59417	6.82792	6.83825	6.98204	6.89824	7.11862	7.06553	7.03501	6.45995	6.71264	6.84852	6.7125	6.75163	6.71992	6.94898	6.87737	6.89877	6.7325	6.8361	6.88062	6.88594	6.84554	6.81188	6.90767	6.78644	6.85584	6.72853	6.63498	6.69634	7.06563	6.79615
X3886842	6.19547	6.13693	6.083	6.14131	5.77505	6.30248	5.85037	5.95413	5.97141	5.85243	5.99719	6.22943	5.90645	5.99605	5.92251	6.06612	5.83955	5.98831	6.00701	5.94959	6.52068	6.15046	5.948	5.75745	6.08785	6.28419	6.17076	5.96743	6.39149	6.48505	6.37194	6.73074	5.83375	6.20361	6.10179	6.15197	6.57136	6.12865	6.20367	6.02798	5.83032	6.30804	6.13102	5.99274	6.43039	6.15618	5.73147	6.05072	6.16417	6.35679	6.52475	5.94494	5.97359	6.17133	6.23604	6.26756	6.21091	6.21395	6.18046	6.2657	6.25463	6.01272	6.1928	6.10426	6.24658	6.317	6.20299	6.23638	6.25871	6.12133	5.88846	6.12036	6.04692	6.05269	6.4299	6.0145	6.29867	5.87247	6.18461	6.27809	6.02092	6.13422	6.22181
X3837001	7.97439	7.98608	7.86243	8.04445	8.0178	8.13994	8.02967	7.9013	7.92618	7.88186	7.95822	8.12619	7.85369	7.98214	8.08926	7.87346	7.73341	7.77505	7.88454	8.10817	8.18743	8.23253	8.31838	8.10513	7.97049	8.14762	8.25739	7.59732	8.40546	7.9641	8.02546	8.10116	8.0963	8.05063	8.12453	8.0409	8.07716	7.97196	7.92965	7.90233	7.73985	7.73766	8.19363	8.07749	7.8942	7.9784	7.78682	7.95093	7.98655	7.90265	8.01127	7.93513	7.83599	7.94751	7.85636	8.00786	7.97389	8.24364	8.25178	7.91451	7.78289	7.87719	8.00121	7.91651	7.90956	7.95229	7.87627	7.81069	7.94392	8.1099	7.98594	7.98737	7.98197	7.89116	7.93861	8.00869	8.00078	8.01245	8.04683	8.01128	7.83125	8.01775	7.98836
X3886889	6.34437	6.0346	6.26032	6.22877	6.08406	6.0068	6.17264	5.98951	5.86152	6.30556	6.13522	6.53777	6.02631	6.34668	5.9973	6.21781	5.74679	5.64431	6.19848	6.4769	6.42254	6.08706	6.06678	5.86628	6.41354	6.08404	6.26238	5.99712	6.28141	6.48276	6.49069	6.32021	5.91218	6.20497	6.18032	6.35493	6.35351	5.96501	6.40737	6.1053	6.21911	6.31699	6.09625	6.08063	6.32386	6.18302	6.25811	6.10625	5.99108	6.35466	6.18839	6.04232	6.14331	6.1167	6.17196	6.21883	5.9434	6.54513	6.08216	6.39144	6.24757	6.02017	6.206	5.74282	5.96389	6.12852	6.25684	6.09465	6.252	6.16878	6.18009	6.22341	6.00398	6.44508	6.3938	6.16082	6.12802	6.14647	6.19661	6.24499	6.67143	6.07447	6.23991
X3946889	8.96652	8.72719	8.79728	8.91224	8.9311	8.93406	8.78779	8.7733	8.54548	8.73555	8.78124	8.81198	8.6928	8.57084	8.68072	8.7913	8.66396	8.44449	8.77139	8.9914	8.99748	8.91496	9.11863	8.85363	8.5963	8.80658	8.95237	8.69977	9.03293	8.70269	8.97289	8.82662	8.6923	8.77002	8.83289	8.74603	9.11906	8.62253	8.7966	8.67961	8.58913	8.54284	8.89305	8.97554	8.42272	8.7964	8.63467	8.54023	8.80971	8.74718	8.71596	8.58504	8.48481	8.71221	8.71715	8.83071	8.68729	8.92054	8.89119	8.73892	8.33491	8.49404	8.77574	8.6137	8.76272	8.5582	8.7395	8.59669	8.64087	8.69003	8.68229	8.66675	8.95956	8.84017	8.78639	8.89478	8.66895	8.84198	8.71519	8.63993	8.56293	8.86029	8.65354
