"Regulator_ENSG","Target_ENSG","MI","pvalue","Target_symbol","Regulator_symbol"
"ENSG00000147162","ENSG00000167861",0.412140896159784,0,"HID1","OGT"
"ENSG00000103510","ENSG00000168872",0.404569100677964,0,"DDX19A","KAT8"
"ENSG00000196363","ENSG00000112033",0.447789132631999,0,"PPARD","WDR5"
"ENSG00000187778","ENSG00000090372",0.45569987390693,0,"STRN4","MCRS1"
"ENSG00000103510","ENSG00000143575",0.374063411170994,0,"HAX1","KAT8"
"ENSG00000172534","ENSG00000261616",0.333522480035073,0,"RP11-6O2.3","HCFC1"
"ENSG00000103510","ENSG00000179526",0.338953797842448,0,"SHARPIN","KAT8"
"ENSG00000196363","ENSG00000100038",0.529740571718809,0,"TOP3B","WDR5"
"ENSG00000196363","ENSG00000101365",0.57612701981344,0,"IDH3B","WDR5"
"ENSG00000103510","ENSG00000156873",0.418349912098553,0,"PHKG2","KAT8"
"ENSG00000196363","ENSG00000101361",0.647234086292957,0,"NOP56","WDR5"
"ENSG00000172534","ENSG00000198026",0.450071804523824,0,"ZNF335","HCFC1"
"ENSG00000196363","ENSG00000101363",0.49993342902832,0,"MANBAL","WDR5"
"ENSG00000147162","ENSG00000141252",0.392569806338572,0,"VPS53","OGT"
"ENSG00000196363","ENSG00000138640",0.427928138783945,1.2948038325522e-05,"FAM13A","WDR5"
"ENSG00000196363","ENSG00000137312",0.587649797081083,0,"FLOT1","WDR5"
"ENSG00000196363","ENSG00000113360",0.480897825754578,0,"DROSHA","WDR5"
"ENSG00000196363","ENSG00000054611",0.502503250190572,0,"TBC1D22A","WDR5"
"ENSG00000187778","ENSG00000185298",0.482494701447143,0,"CCDC137","MCRS1"
"ENSG00000196363","ENSG00000004399",0.33991067139502,0,"PLXND1","WDR5"
"ENSG00000172534","ENSG00000222019",0.397411831895208,0,"URAHP","HCFC1"
"ENSG00000187778","ENSG00000114902",0.322585062517891,0,"SPCS1","MCRS1"
"ENSG00000147162","ENSG00000143850",0.462909429241659,0,"PLEKHA6","OGT"
"ENSG00000196363","ENSG00000114650",0.557014701657374,0,"SCAP","WDR5"
"ENSG00000196363","ENSG00000138623",0.570174430048243,0,"SEMA7A","WDR5"
"ENSG00000172534","ENSG00000261659",0.599295422852952,0,"LA16c-313D11.12","HCFC1"
"ENSG00000196363","ENSG00000100029",0.477729558583119,0,"PES1","WDR5"
"ENSG00000103510","ENSG00000095380",0.386095096797938,0.00166895852753068,"NANS","KAT8"
"ENSG00000196363","ENSG00000100023",0.441900913969449,0,"PPIL2","WDR5"
"ENSG00000196363","ENSG00000102683",0.383362504175363,0,"SGCG","WDR5"
"ENSG00000187778","ENSG00000186577",0.323511921286486,0.000383923420532284,"SMIM29","MCRS1"
"ENSG00000196363","ENSG00000101327",0.336048353349739,0,"PDYN","WDR5"
"ENSG00000103510","ENSG00000178226",0.312942798053573,0,"PRSS36","KAT8"
"ENSG00000187778","ENSG00000102904",0.36501017310679,0,"TSNAXIP1","MCRS1"
"ENSG00000187778","ENSG00000203877",0.407522964328129,0,"RIPPLY2","MCRS1"
"ENSG00000120071","ENSG00000205790",0.437588095937261,0,"DPP9-AS1","KANSL1"
"ENSG00000147162","ENSG00000155846",0.376617028475373,0,"PPARGC1B","OGT"
"ENSG00000196363","ENSG00000101337",0.533912215608679,0,"TM9SF4","WDR5"
"ENSG00000196363","ENSG00000127948",0.382744672297118,0,"POR","WDR5"
"ENSG00000147162","ENSG00000104299",0.386162342161702,0,"INTS9","OGT"
"ENSG00000187778","ENSG00000173272",0.339623047207297,0,"MZT2A","MCRS1"
"ENSG00000196363","ENSG00000114648",0.501268546896024,0,"KLHL18","WDR5"
"ENSG00000172534","ENSG00000162063",0.447056475825388,0,"CCNF","HCFC1"
"ENSG00000103510","ENSG00000167578",0.33514846052221,0,"RAB4B","KAT8"
"ENSG00000147162","ENSG00000105650",0.347422597822645,0,"PDE4C","OGT"
"ENSG00000196363","ENSG00000162384",0.350895560298564,2.80570020549931e-07,"CZIB","WDR5"
"ENSG00000147162","ENSG00000143921",0.340973022414899,0,"ABCG8","OGT"
"ENSG00000196363","ENSG00000162385",0.331942147359763,0.00494054966541624,"MAGOH","WDR5"
"ENSG00000196363","ENSG00000185019",0.438636569791534,0,"UBOX5","WDR5"
"ENSG00000147162","ENSG00000117640",0.362188383959072,0,"MTFR1L","OGT"
"ENSG00000196363","ENSG00000162373",0.410867127093325,0,"BEND5","WDR5"
"ENSG00000187778","ENSG00000091732",0.374389184405476,0,"ZC3HC1","MCRS1"
"ENSG00000196363","ENSG00000185000",0.505089241327871,0,"DGAT1","WDR5"
