"Regulator_ENSG","Target_ENSG","MI","pvalue","Target_symbol","Regulator_symbol"
"ENSG00000187778","ENSG00000198728",0.473428601870021,0,"LDB1","MCRS1"
"ENSG00000120071","ENSG00000172534",0.424026248449846,0,"HCFC1","KANSL1"
"ENSG00000187778","ENSG00000198715",0.342609505067213,0,"GLMP","MCRS1"
"ENSG00000172534","ENSG00000089154",0.442102650285311,0,"GCN1","HCFC1"
"ENSG00000196363","ENSG00000167792",0.538028792910114,0,"NDUFV1","WDR5"
"ENSG00000120071","ENSG00000112855",0.427491630979348,0,"HARS2","KANSL1"
"ENSG00000120071","ENSG00000124831",0.386075401000078,0,"LRRFIP1","KANSL1"
"ENSG00000196363","ENSG00000178449",0.416535210205961,0,"COX14","WDR5"
"ENSG00000196363","ENSG00000105518",0.351364099554483,0,"TMEM205","WDR5"
"ENSG00000196363","ENSG00000165125",0.506897878562755,0,"TRPV6","WDR5"
"ENSG00000196363","ENSG00000177108",0.541707710633089,0,"ZDHHC22","WDR5"
"ENSG00000120071","ENSG00000075568",0.500579027222944,0,"TMEM131","KANSL1"
